#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج. مؤ. س.	ج. مذ. س.	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
5270	مُتَّخِذٌ	متخذ	ءخذ	مُفْتَعِلٌ	فاعل	اِتَّخَذَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
906	مُتَأَبِّطٌ	متأبط	أبط		فاعل	تَأَبَّطَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِنْ تَأَبَّطَ). ""جَاءَ مُتَأَبِّطاً ذِرَاعَهُ"" : وَاضِعاً إِيَّاهُ تَحْتَ إِبْطِهِ. ""نَسِيرُ جَنْباً لِجَنْبٍ مُتَأَبِّطِي الأَذْرُعِ"". (أحمد بوزفور)."
224	آتِي	آتي	أتي		فاعل	أَتَى		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm	Tk	Tn									"آتٍ-آتٍ، الآتي، ةٌ [أ ت ي] (فَا. من أَتَى). 1.""هُوَ آتٍ لاَ رَيْبَ فِي ذَلِكَ"" : مُقْبِل، قَادِمٌ. ""كُلُّ آتٍ قَرِيبٌ"". (مثل) ""سَأزُورُكَ فِي الشَّهْرِ الآتِي"" : فِي الشَّهْرِ الْمُقبِلِ. 2. ""اِقْرَإِ العِبَارَةَ الآتِيَةَ"" : التَّالِيَةَ."
225	أَوَاتِي	أواتي	أتي		فاعل	أَتَى					جمع		آتِيَةٌ					Tk	Tn									
227	مُؤَثِّرٌ	مؤثر	أثر		فاعل	أَثَّرَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									"(فا. من أَثَّرَ). 1.""لَهُ أُسْلُوبٌ مُؤَثِّرٌ فِي النَّاسِ"" : فَعَّالٌ، ذُو أَثَرٍ.‏ ""وَسَائِلُ الإِعْلاَمِ لَهَا قُوَّةٌ مُؤَثِّرَةٌ فِي الجُمْهُورِ. 2.""وَدَّعْنَاهُ وَدَاعاً مُؤَثِّراً"" : أَيْ وَدَاعاً تَرَكَ أَثَراً فِي النَّفْسِ. 3.""لَمْ تَكُنْ أَحْكَامُهُ خَالِيَةً مِنْ مُؤَثِّرَاتٍ ذَاتِيَّةٍ وَمَوْضُوعِيَّةٍ"" : مِنْ عَوَامِلَ..."
349	مُسْتَأْثِرٌ	مستأثر	أثر		فاعل	اِسْتَأْثَرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِن اِسْتَأْثَرَ). 1.""مُسْتَأْثِرٌ بِكُلُّ شَيْءٍ"" : مَنْ يُعْطِي لِنَفْسِهِ الْحَقَّ فِي أَخْذِ كُلِّ شَيْءٍ، الْمُسْتَحْوِذُ... 2.""حَاكِمٌ مُسْتَأْثِرٌ بِالسُّلْطَةِ"" : مُسْتَبِدٌّ."
908	مُتَأَثِّرٌ	متأثر	أثر		فاعل	تَأَثَّرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من تَأَثَّرَ). 1.""لاَ يَزَالُ مُتَأَثِّراً بِالْحَدَثِ"" : مُتَأَلِّماً، مُنْفَعِلاً. 2.""سَقَطَ مُتَأَثِّراً بِجِرَاحِهِ"" : سَقَطَ نَتِيجَةَ تَمَكُّنِ الجِرَاحِ مِنْهُ."
230	آثِمٌ	آثم	أثم		فاعل	أَثِمَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"آثِمٌ-آثِمٌ [أ ث م] (فَا. مِنْ أَثِمَ). ""رَجُلٌ آثِمٌ"" : مُرْتَكِبُ الإثْمِ وَالْمَعْصِيَةِ."
909	مُتَأَجِّجٌ	متأجج	أجج		فاعل	تَأَجَّجَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"مُتَأَجِّجٌ-مُتَأَجِّجٌ، ةٌ [أ ج ج] (فا. من تَأَجَّجَ). 1. ""نَارٌ مُتَأَجِّجَةٌ"" : مُلْتَهِبَةٌ. 2.""حُبٌّ مُتَأَجِّجٌ"" : مُلْتَهِبٌ، حَارٌّ شَدِيدٌ. ""شَوْقٌ مُتَأَجِّجٌ"" ""عَاطِفَةٌ مُتَأَجِّجَةٌ""."
242	مُؤَجِّرٌ	مؤجر	أجر		فاعل	أَجَّرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فا. من أَجَّرَ). ""مُؤَجِّرٌ لِلْبَيْتِ بِأَلْفِ دِرْهَمٍ"" : الْمُكْتَرِي لَهُ..."
