#رقم 	مشكول	غير مشكول	جذر	وزن	صنف	اصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده المحسوب	تأنيث	تثنية	ج.مؤ.س	ج. مذ. س.	منقوص	تنوين النصب	نسب	إض. لف.	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
4	جَوَارِيفُ	جواريف	جرف		اسم أداة			مؤنث			جمع		جَارُوفٌ														Non	
18	حَرْقى	حرقى	حرق		اسم			مؤنث			جمع		حَرِيقٌ														Non	
24	غَزَواتٌ	غزوات	غزو		اِسْمٌ			مؤنث			جمع								Tn									
40	أَعْنَانٌ	أعنان	عنن		اسم			مؤنث			جمع		عَنَنٌ						Tn									
104	مَذَارِي	مذاري	ذرر					مؤنث			جمع							Tk	Tn									
113	مساحي	مساحي	سحو					مؤنث			جمع							Tk	Tn									
128	مَغَاسِلُ	مغاسل	غسل		اسم آلة			مؤنث			جمع		مَغْسِلٌ														Non	
130	مغالي	مغالي	غلي		اسم آلة			مؤنث			جمع							Tk	Tn									
134	مَفَاتِلُ	مفاتل	فتل		اسم آلة			مؤنث			جمع		مِفْتَلٌ														Non	
137	مَقَاشِطُ	مقاشط	قشط		اسم آلة			مؤنث			جمع		مِقْشَطَةٌ														Non	
140	مَقَاصُّ	مقاص	قصص		اسم آلة			مؤنث			جمع		مِقَصٌّ						Tn									
142	قَيَاثِرُ	قياثر	قيثارة		اسم آلة			مؤنث			جمع																Non	
144	مَكَابِسُ	مكابس	كبس		اسم آلة			مؤنث			جمع		مِكْبَسٌ														Non	
147	مَكَانِسُ	مكانس	كنس		اسم آلة			مؤنث			جمع		مِكْنَسَةٌ														Non	
150	أَمْشَاطٌ	أمشاط	مشط		اسم آلة			مؤنث			جمع		مُشْطٌ						Tn									
153	مَنَاجِرُ	مناجر	نجر		اسم آلة			مؤنث			جمع		مَنْجَرٌ														Non	
155	مَنَاحِيتُ	مناحيت	نحت		اسم آلة			مؤنث			جمع		مِنْحَاتٌ														Non	
157	نَوَاظِيرُ	نواظير	نظر		اسم آلة			مؤنث			جمع		نَاظُورٌ														Non	
159	رَوَايا	روايا	روي		اسم آلة			مؤنث			جمع		رَاوِيَةٌ														Non	
161	مِرَارٌ	مرار	مرر		اسم آلة			مؤنث			جمع		مَرَّةٌ						Tn									
168	حَرابِيُّ	حرابي	حرب		اسم آلة			مؤنث			جمع		حِرْباءُ						Tn									
169	عَرَاقِيلُ	عراقيل	عرقل		اسم آلة			مؤنث			جمع																Non	"عَرَاقِيلُ-عَرَاقِيلُ [ع ر ق ل] (بِصِيغَةِ الْجَمْعِ). ن. عَرْقَلَةٌ. ""وَاجَهَ العَرَاقِيلَ"" : الصِّعَابَ، الْمَشَاكِلَ."
170	تَبَاشِيرُ	تباشير	بشر		اسم آلة			مؤنث			جمع																Non	"تَبَاشِيرُ-تَبَاشِيرُ [ب ش ر] (بِصِيغَةِ الجَمْعِ). ""وَعَلَتْ زَقْزَقَةُ الع"
