#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
2	مُقَفَّى	مقفى	قفي		مفعول	قَفَّى		مذكر			مفرد	+ون			Dy		Pm		Tn									"قَفّـىً - [ق ف ي]. (فا. من قَفَّى). 1. ""كَلاَمٌ مُقَفّـىً"" : فِيهِ سَجْعٌ، لَهُ قَافِيَةٌ، أَيْ تَوَافُقٌ عَلَى الْحَرْفِ الأَخِيرِ. 2."" رَجُلٌ مُقَفّىً بِهِ"" : مُحْتَفَىً بِهِ، مُكَرَّمٌ، مَحَطُّ تَشْرِيفٍ."
3	مُقَفّاة	مقفاة	قفي		مفعول	قَفَّى		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"قَفّـىً - [ق ف ي]. (فا. من قَفَّى). 1. ""كَلاَمٌ مُقَفّـىً"" : فِيهِ سَجْعٌ، لَهُ قَافِيَةٌ، أَيْ تَوَافُقٌ عَلَى الْحَرْفِ الأَخِيرِ. 2."" رَجُلٌ مُقَفّىً بِهِ"" : مُحْتَفَىً بِهِ، مُكَرَّمٌ، مَحَطُّ تَشْرِيفٍ."
4	مَبْتُوتٌ	مبتوت	بتت		مفعول	بَتَّ		مذكر			مفرد								Tn									قضية مبتوت فيها
5	مُضَافٌ	مضاف	ضيف		مفعول	أَضَافَ		مذكر			مفرد	+ون;+ات		ة	DnT	Pf	Pm		Tn									"مُضَافٌ-مُضَافٌ [ض ي ف]. 1.""الْمُضَافُ فِي النَّحْوِ"" : الاِسْمُ الَّذِي يُضَافُ إِلَيْهِ اسْمٌ آخَرُ طَلَباً لاَزِماً يُفِيدُ تَعْرِيفاً أَوْ تَخْصِيصاً. يُسَمَّى الأَوَّلُ مُضَافاً وَالثَّانِي مُضَافاً إِلَيْهِ، وَيَكُونُ مَجْرُوراً : ""قَلَمُ الرَّصَاصِ"". 2.""وَلَدٌ مُضَافٌ : خَائِفٌ. ""هَبَّ إِلَى نَجْدَةِ الْمُضَافِ"". 3.""رَجُلٌ مُضَافٌ"" : دَعِيٌّ، أَي مُنْتَسِبٌ إِلَى قَوْمٍ ولَيْسَ مِنْهُمْ."
6	مُبَيَّضَةٌ	مبيضة	بيض		مفعول	بَيَّضَ		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"مُبَيَّضَةٌ-مُبَيَّضَةٌ [ب ي ض]. ""نُسْخَةٌ مُبَيَّضَةٌ"" : نَاصِعَةٌ."
7	مُبَانٌ	مبان	بين		مفعول	أَبَانَ		مذكر			مفرد	+ات 			DnN	Pf			Tn									"مُبَيَّنٌ-مُبَيَّنٌ [ب ي ن] (مفع. مِنْ بَيَّنَ). ""كَمَا هُوَ مُبَيَّنٌ"" : كَمَا هُوَ وَاضِحٌ."
8	مُقَشَّرٌ	مقشر	قشر		مفعول	قَشَّرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُقَشَّرٌ، ةٌ - [ق ش ر]. (مفع. من قَشَّرَ). ""جَزَرٌ مُقَشَّرٌ"" : أُزِيلَتْ قِشْرَتُهُ. "
9	مُهَبَّلٌ	مهبل	هبل		مفعول	هَبَّلَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". 1. مَنْ يُقَالُ لَهُ: ""هَبَلَتْكَ أُمُّكَ""، أَيْ فَقَدَتْكَ. 2. ""رَجُلٌ مُهَبَّلٌ"" : مَعْتُوهٌ، أَحْمَقُ، أَهْوَجُ."
10	مُعَوَّضٌ	معوض	عوض		مفعول	عَوَّضَ		مذكر			مفرد	+ون;+ات		ة	DnT	Pf	Pm		Tn									"ج: ـون، ـات. (مفع. مِن عَوَّضَ). ""مُعَوَّضٌ عَنْ كُلِّ خَسَائِرِهِ"" : أَيْ عُوِّضَ بَدَلَ مَا خَسِرَهُ."
11	مَيْمُونٌ	ميمون	يمن		مفعول	يَمَنَ		مذكر			مفرد	+ون;+ات;مَيَامِينُ 		ة	DnT	Pf	Pm		Tn									". 1.""وَلَدٌ مَيْمُونٌ"" : ذُو يُمْنٍ وَبَرَكَةٍ. 2.""هُوَ مَيْمُونُ الطَّائِرِ"" : دُعَاءٌ لِلْمُسَافِرِ، أَيْ سِرْ مُوَفَّقاً تُصَاحِبُكَ السَّلاَمَةُ. ""زِيَارَةٌ مَيْمُونَةٌ"". 3.""قُدُومٌ مَيْمُونٌ"": قُدُومٌ مُبَارَكٌ."
12	مَيَامِينُ	ميامين	يمن		مفعول	يَمَنَ					جمع		مَيْمُونٌ														Non	
13	مُنْكَبٌّ	منكب	نكب		مفعول	اِنْكَبَّ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". ""مُنْكَبٌّ عَلَى عَمَلِهِ"" : مُنْهَمِكٌ فِيهِ بِشَغَفٍ، مُسْتَغْرِقٌ فِيهِ"
14	مَنْدُوبٌ	مندوب	ندب		مفعول	نَدَبَ		مذكر			مفرد	+ون;+ات;مَنَادِيبُ 		ة	DnT	Pf	Pm		Tn			ـو						". 1.""مَيِّتٌ مَنْدُوبٌ"" : مَنْ يُنْدَبُ مِنَ الأَمْوَاتِ. 2.""أَمْرٌ مَنْدُوبٌ"": مُسْتَحَبٌّ فِعْلُهُ. 3.""الْمُنَادَى الْمَنْدُوبُ"" (نح) : الاِسْمُ يُنَادَى بِالوَاوِ وَهُوَ مَا يُعَبَّرُ بِهِ عَنِ التَّفَجُّعِ: ""وَامُعْتَصِمَاهُ!"": واو الاِسْتِغَاثَةِ. 4.""مَنْدُوبُ بِلاَدِهِ فِي الأُمَمِ الْمُتَّحِدَةِ"" : مُفَوَّضُهَا، مُمَثِّلُهَا يَقُومُ بِمُهِمَّةٍ نِيَابَةً عَنْهَا. ""مَنْدُوبُ الْجَرِيدَةِ"" ""مَنْدُوبُ الْحِـزْبِ"" ""مَنْدُوبُ الشَّرِكَةِ""."
15	مَنَادِيبُ	مناديب	ندب		مفعول	نَدَبَ					جمع		مَنْدُوبٌ														Non	
16	مَنْجُورٌ	منجور	نجر		مفعول	نَجَرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									". ""أَرْضٌ مَنْجُورَةٌ"" : أَرْضٌ ذَاتُ مَسْلَكٍ غَيْرِ مُعَبَّدٍ."
17	مَنْثُورٌ	منثور	نثر		مفعول	نَثَرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَنْثُورٌ-مَنْثُورٌ، ةٌ [ن ث ر]. 1.""زَرْعٌ مَنْثُورٌ"" : مُتَفَرِّقٌ، مُتَشَتِّتٌ.الفرقان آية 23 فَجَعَلْنَاهُ هَبَاءً مَنْثُورا (قرآن). 2.""كَلاَمٌ مَنْثُورٌ"" : الكَلاَمُ الْمَكْتُوبُ نَثْراً عَكْسُ الْمَنْظُومِ. 3.""شِعْرٌ مَنْثُورٌ"" : كَلاَمٌ مُرْسَلٌ بِغَيْرِ وَزْنٍ ولاَ قَافِيَةٍ. 4.""أَزْهَرَ الْمَنْثُورُ بِأَشْكَالِهِ الْمُخْتَلِفَةِ وأَلْوَانِهِ الزَّاهِيَةِ"" : نَبَاتٌ ذُو زَهْرٍ زَكِيٍّ."
