#رقم	مشكول	غير مشكول	root	وزن	derived	الأصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح	
2	ذِمِّيٌّ		ذمم		منسوب	ذِمّةٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						". ""رَجُلٌ ذِمِّيٌّ"" : الَّذِي أُعْطِيَ الذِّمَّةَ، أَيْ أُعْطِيَ الع"	
3	نَاصِرِيٌّ		نصر		منسوب	نَاصِرٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						". 1.(مَنْسُوبٌ إِلَى مَدِينَةِ النَّاصِرَةِ بِفِلِسْطِينَ) : يَسُوعُ النَّاصِرِيُّ. 2.""نَاصِرِيٌّ"": الْمُعْتَنِقُ لآرَاءِ وَأَفْكَارِ الرَّئِيسِ الْمِصْرِيِّ الرَّاحِلِ جَمَالِ عَبْدِ النَّاصِرِ."	
4	مِيكَانِيكِيٌّ		ميكانيكي			مِيكَانِيكَا		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						ج: ـون. ن. مِيكَانِيٌّ.	
5	مِيكَانِيٌّ		ميكاني			مِيكَانِيكَا		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"ج: ـون. ""عَامِلٌ مِيكَانِيٌّ"" : الَّذِي يَقُومُ بِإِصْلاَحِ مَا لَهُ عَلاَقَةٌ بِالآلاَتِ الْمِيكَانِيكِيَّةِ."	
6	إقْطَاعِيٌّ		قطع			إقْطَاعٌِ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						". 1.: الْمالِكُ لِلإقْطَاعَةِ عَلَى نِظامِ الإقْطَاعِ. ""كانَ إقْطَاعِياًّ يَمْلِكُ الأرَاضِيَ الكَثِيرَةَ وَيُشَغِّلُ النَّاسَ كالعَبِيدِ"". 2.""اِنْقَضَى العَهْدُ الإقْطَاعِيُّ"" : زَمَنُ سَيْطَرَةِ نِظَامِ الإقْطَاعِ."	
7	مُعْجَمَاتِيٌّ		عجم			مُعْجَمٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						". ""عَالِمٌ مُعْجَمَاتِيٌّ"" : مُخْتَصٌّ بِصِنَاعَةِ الْمُعْجَمَاتِ."	
8	صَحَفِيٌّ		صحف			صَحَافَةٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						. ن.صِحَافِيٌّ.	
9	صِحَافِيٌّ		صحف			صَحَافَةٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						". ""صِحَافِيٌّ نَشِيطٌ"" : مَنْ يُزَاوِلُ مِهْنَةَ الصِّحَافَةِ وَيُقَالُ لَهُ أَيْضاً صَحَفِيٌّ."	
10	رِواقِيٌّ		روق			رِواقٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						. : مَنْ كانَ عَلَى مَذْهَبِ الرِّواقِيَّةِ.	
11	رَمْزِيٌّ		رمز			رَمْزٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						. : مَنْ كانَ على مَذْهَبِ الرَّمْزِيَّةِ.	
