#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
2	تَبَوُّؤٌ		بوأ		 مصدر	تَبَوَّأَ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"تَبَوُّؤٌ-تَبَوُّؤٌ [ب و أ]. ""حَاوَلَ تَبَوُّؤَ الصَّدَارَةِ"" : اِتِّخَاذُهُ مَكَانَ الصَّدَارَةِ."
3	تَبَلْبُلٌ		بلبل		 مصدر	تبلبل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَبَلْبُلٌ-تَبَلْبُلٌ [ب ل ب ل]. 1.""تَبَلْبُلُ الأَلْسِنَةِ"" : اِخْتِلاَطُهَا. 2.""وَجَدَ فِي أَفْكَارِهِ تَبَلْبُلاً"" : اِضْطِرَاباً وَتَشَوُّشاً."
4	تَأْسِيسٌ		أسس		 مصدر	أسس		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"تَأْسِيسٌ-تَأْسِيسٌ [أ س س]. 1.""تَأْسِيسُ عِمَارَةٍ "" : بِنَاؤُهَا، رَفْعُ قَوَاعِدِهَا. 2.""تَأَسِيسُ مَدِينَةٍ"" : بِنَاؤُهَا، تَشْيِيدُهَا، وَضْعُ أَسَاسِهَا."
5	تَمَحُّصٌ		لقي		مصدر	تَمَحَّصَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								
6	جُرْحٌ		جرح		مصدر	جَرَحَ		مذكر			مفرد	جِرَاحٌ;أَجْرَاحٌ;جِرَاحَاتٌ			DnN				Tn									"(اِسْمٌ مِنَ الجُرْحِ). ""لَمْ يُصَبْ إِلاَّ بِجُرْحٍ بَسِيطٍ"" : بِشِقٍّ فِي بَدَنِهِ يَسِيلُ مِنْهُ الدَّمُ. ""أُصِيبَ اللاَّعِبُ بِجُرُوحٍ بَالِغَةٍ"" l ""جِرَاحَاتُ السِّنَانِ لهَاَ الْتِئَامُ*وَلاَ يَلْتَامُ مَا جَرَحَ اللِّسَانُ""."
7	جِرَاحٌ		جرح		مصدر	جَرَحَ		مؤنث			جمع		جُرْحٌ						Tn	R								
8	أَجْرَاحٌ		جرح		مصدر	جَرَحَ		مؤنث			جمع		جُرْحٌ						Tn									
9	جِرَاحَاتٌ		جرح		مصدر	جَرَحَ		مؤنث			جمع		جُرْحٌ						Tn									
10	رِيٌّ		روي		اسم المصدر	ارْتَوَى		مذكر			مفرد								Tn									"رِيٌّ-رِيٌّ [ر و ي] (اِسْمٌ مِن ارْتَوَى الشَّجَرُ). 1.""يَعيشُ في رِيٍّ"" : في حُسْنِ حالٍ ونِعْمَةٍ. 2.""رِيُّ الشَّجَرِ"" : اِرْتِواؤُها."
11	بَيْعٌ		بيع		مصدر	باعَ		مذكر			مفرد	بُيوعٌ			DnN				Tn	R								". 1.""تَمَّ بَيْعُ كُلِّ السِّلَعِ"" : تَصْرِيفُها، إِعْطاءُ السِّلَعِ وَأَخْذُ مُقابِلِها ثَمَناً. 2.""لا بَيْعَ وَلا شِراءَ"" : عِبارَةٌ تُقالُ لِكَسادِ السُّوقِ. 3.""سَيُقامُ بَيْعُ الْمَنْزِلِ بِالْمَزادِ العَلَنِيِّ"" : شِراؤُهُ بِواسِطَةِ الْمَزادِ عَلَناً."
12	بُيوعٌ		بيع		مصدر	باعَ		مؤنث			جمع		بَيْعٌ						Tn									
13	عِلْمٌ		علم		 مصدر	عَلِمَ		مذكر			مفرد	عُلُومٌ			DnN				Tn	Rp								" [ع ل م] (مص. علم). 1.""له علم بحقيقة الأمور"" : إدراك الأمور على حقيقتها، له معرفة بها. ""لا علم له بما حصل"". 2. ""العلم نور"" : ما يقذفه الله في قلب من يحب. 3. ""علم: ج: علوم  الْمَعْرِفَةُ، مَسَائِلُ تَمَسُّ مَوْضُوعاً مُعَيَّناً وَتَبْحَثُ أُصُولَهُ وَقَوَانِينَهُ : عُلُومُ اللُّغَةِ الْعَرَبِيَّةِ : عِلْمُ النَّحْوِ وَعِلْمُ الْبَلاَغَةِ... وَعُلُومُ الطَّبِيعَةِ : عِلْمُ الْكِيمِيَاءِ وَالْفِيزِيَاءِ وَعِلْمُ الْفَلَكِ وَعِلْمُ النَّبَاتِ وَالحَيَوَانِ... وَالْعُلُومُ التَّطْبِيقِيَّةُ : عِلْمُ الطِّبِّ وَعِلْمُ الهَنْدَسَةِ وَالعُلُومُ الإِنْسَانِيَّةُ : الأَدَبُ وَالتَّارِيخُ وَالاجْتِمَاعُ وَالقَانُونُ..."
14	عُلُومٌ		علم		 مصدر	عَلِمَ		مؤنث			جمع		عِلْمٌ						Tn									
