#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
2	أكَّارٌ		ءكر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;أَكَرَةٌ;		Ta	DnN	Pf	Pm		Tn			ـو						.: الحَرَّاثُ.
3	أَكَرَةٌ		ءكر	فَعَلَة	صيغة			مذكر			جمع								Tn									
4	عَسَّالٌ		عسل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات		Ta	DnN	Pf	Pm		Tn			ـو						عَسَّالَةٌ-عَسَّالَةٌ [ع س ل] 1. : خَلِيَّةُ النَّحْلِ. 2. : الَّذِينَ يَسْتَخْرِجُونَ العَسَلَ مِنْ مَوَاضِعِهِ.
5	رَحَّالَةٌ		رحل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"رَحَّالَةٌ-رَحَّالَةٌ [ر ح ل]. 1.""كَانَ رَحَّالَةَ عَصْرِهِ"" : كَثيرُ الرِّحَالِ، التَّرْحَالِ. 2.""اللَّقَالِقُ مِنَ الطُّيُورِ الرَّحَّالَةِ"" : مِنَ الطُّيُورِ الَّتِي تَنْتَقِلُ فِي مَوَاسِمَ مَعْلُومَةٍ مِن بَلَدٍ إلَى آخَرَ، الْمُهَاجِرَةُ."
6	زَجَّالٌ		زجل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"زَجَّالٌ-زَجَّالٌ[ز ج ل]. 1. : الشَّاعِرُ الَّذِي يَكْتُبُ قَصائِدَ شِعْرِيَّةً بِاللُّغَةِ العامِّيَّةِ، الشَّعْبِيَّةِ. 2.""حَمامٌ زَجَّالٌ"" : زَاجِلٌ، حَمامٌ يُرْسَلُ بِالرَّسائِلِ عَلَى بُعْدٍ."
7	بَحَّارٌ		بحر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;بَحَّارَةٌ;		Ta	DnN	Pf	Pm		Tn			ـو						". 1.""بَحَّارٌعَرفَ كُلَّ الْمَوانِئ"" : مَلاَّحٌ، مِنْ رِجَالِ البَحْرِ. 2.""رَسَتِ السَّفِينَةُ، فامْتَلأَ المِينَاءُ بِالبَحَّارَةِ"" : طاقَمُ السَّفِينَةِ وَرِجالُ البَحْريَّةِ."
8	بَحَّارَةٌ		بحر	فعّالة	صيغة			مذكر			جمع		بَحَّارٌ						Tn									
9	جَبَّارٌ		جبر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;جَبَابِرَةٌ;		Ta	DnN	Pf	Pm		Tn			ـو						". 1.""كَانَ جَبَّاراً عَاتِياً"": مُتَسَلِّطاً، ظَالِماً، مُتَعَجْرِفاً، قَاسِياً، قَاهِراً. ""عَرَفَهُ التَّارِيخُ مِنَ الجَبَابِرَةِ العُتَاةِ"". 2. ""قَ"
10	جَبَابِرَةٌ		جبر	فعاعلة	صيغة			مذكر			جمع		جَبَّارٌ						Tn			ـو						
11	مَسَّاحٌ		مسح	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"مَسَّاحَةٌ-مَسَّاحَةٌ [م س ح]. ""مَسَّاحَةُ الزُّجَاجِ"" : قَضِيبٌ فِـي طَرَفِهِ جِلْدٌ مَطَّاطٌ يَكُونُ مُلْتَصِقاً بِأَعْلَى الزُّجَاجِ الأَمَامِيِّ لِلسَّيَّارَةِ، يَتَحَرَّكُ آلِيّاً لِتَنْظِيفِهِ وَقْتَ الْمَطَرِ."
