#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث 	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنون النصب	
2	أَذْلَفٌ		ذلف		صفة مشبهة			مذكر	ذَلْفَاءُ		مفرد	ذُلْفٌ			DnN													". ""وَلَدٌ أَذْلَفُ"": صَغُرَ أَنْفُهُ وَاسْتَوَتْ أَرْنَبَتُهُ."
3	ذَلْفَاءُ		ذلف		صفة مشبهة			مؤنث			مفرد	ذَلْفَاوَاتٌ			Dw					Rw								
4	ذُلْفٌ		ذلف		صفة مشبهة			مذكر			جمع		أَذْلَفٌ						Tn									
5	ذَلْفَاوَاتٌ		ذلف		صفة مشبهة			مؤنث			جمع		ذَلْفَاءُ						Tn									
6	أَبْرَشٌ		برش		صفة مشبهة			مذكر	برشاء		مفرد	برش			DnN												Non	الأَبْرَش : الذي في لونه بَرَشٌ، أي نقط يخالف لونها لون جلده مؤ بَرْشَاء ج  برْشٌ.
7	بَرْشَاءُ		برش		صفة مشبهة			مؤنث			مفرد	بَرْشَاوَاتٌ			Dw					Rw							Non	
8	بُرْشٌ		برش		صفة مشبهة			مذكر			جمع		أَبْرَشٌ						Tn									
9	بَرْشَاوَاتٌ		برش		صفة مشبهة			مؤنث			جمع		بَرْشَاءُ						Tn									
10	أَنْسَى		نسي		صفة مشبهة			مذكر	نَسْياء		مفرد	نسْيٌ			Dy												Non	.: عِرْقٌ في السَّاقِ السفْلَى، عِرْقٌ مِن الوَرِكِ إلى الكَعْبِ.
11	نَسْيَاءُ		نسي		صفة مشبهة			مؤنث			مفرد	نَسْيَاوَاتٌ			Dw					Rw							Non	
12	نُسْيٌ		نسي		صفة مشبهة			مذكر			جمع		أَنْسَى						Tn									
13	نَسْيَاوَاتٌ		نسي		صفة مشبهة			مؤنث			جمع		نَسْيَاءُ						Tn									
14	أنْمَر		نمر		صفة مشبهة			مذكر	نَمْرَاء		مفرد	نمْرٌ			DnN												Non	"أنْمَر - ج: نمْرٌ، مؤَنّث: نَمْرَاء. [ن م ر]. ""فَرَسٌ أَنْمَر "": فِيهِ نمْرَةٌ بَيْضَاء وَأخْرَى عَلَى أَيِّ لَوْنٍ كَانَ.   ""ثَوْبٌ أَنْمَر""."
15	نَمْرَاءُ		نمر		صفة مشبهة			مؤنث			مفرد	نَمْرَاوَاتٌ			Dw					Rw							Non	
16	نُمْرٌ		نمر		صفة مشبهة			مذكر			جمع		أنْمَر						Tn									
17	نَمْرَاوَاتٌ		نمر		صفة مشبهة			مؤنث			جمع		نَمْرَاءُ						Tn									
18	أَرْعَن		رعن		صفة مشبهة			مذكر	رَعْنَاء		مفرد	رعْنٌ			DnN												Non	". 1. ""وَلَدٌ أَرْعَن"" : أَحْمَق، أَهْوَج. 2. ""جَبَلٌ أَرْعَن"" : طَوِيلٌ وَذو أنوفٍ عِظَامٍ شَاخِصَةٍ. 3. ""رَجلٌ أَرْعَن"" : طَوِيل الأَنْفِ. 4.""جَيْشٌ أَرْعَن"" : عَظِيمٌ وَضَخْمٌ، جَرَّارٌ."
19	رَعْنَاءُ		رعن		صفة مشبهة			مؤنث			مفرد	رَعْنَاوَاتٌ			Dw												Non	
20	رُعْنٌ		رعن		صفة مشبهة			مذكر			جمع		أَرْعَن						Tn									
21	رَعْنَاوَاتٌ		رعن		صفة مشبهة			مؤنث			جمع		رَعْنَاءُ						Tn									
22	أَعْصَم		عصم		صفة مشبهة			مذكر	عَصْماء		مفرد	عصْمٌ			DnN												Non	"أَعْصَم-أَعْصَم [ع ص م]. ""غَزَالٌ أَعْصَم"" : ذِرَاعَاه فِيهِمَا بَيَاضٌ وَسَائِره أَسْوَد."
23	عَصْمَاءُ		عصم		صفة مشبهة			مؤنث			مفرد	عَصْمَاوَاتٌ			Dw					Rw							Non	
24	عُصْمٌ		عصم		صفة مشبهة			مذكر			جمع		أَعْصَم						Tn									
25	عَصْمَاوَاتٌ		عصم		صفة مشبهة			مؤنث			جمع		عَصْمَاءُ						Tn									
26	أَطْحَل		طحل		صفة مشبهة			مذكر	طَحْلاء		مفرد	طحْلٌ			DnN												Non	". ""غبارٌ أَطْحَل"" : لَوْنه كَلَوْنِ الرَّمادِ. بَيْنَ الْغبْرَةِ والبَياضِ. وَأَغْدو على القوتِ الزَّهيدِ كَما غَدا*أزَلّ تَهـاداه التَّنائِـف أَطْحَـل (الشنفرى)."
27	طَحْلَاءُ		طحل		صفة مشبهة			مؤنث			مفرد	طَحْلَاوَاتٌ			Dw					Rw							Non	
28	طُحْلٌ		طحل		صفة مشبهة			مذكر			جمع		أَطْحَل						Tn									
29	طَحْلَاوَاتٌ		طحل		صفة مشبهة			مؤنث			جمع		طَحْلَاءُ						Tn									
30	أعْفَر		أعفر		صفة مشبهة			مذكر	عَفْراء		مفرد	عفْرٌ			DnN												Non	ج: عفْرٌ. مؤ: عَفْراء. (صف). 1. : ما علاه التّراب. 2.: الغَزَال الَّذِي يَعْلو بَيَاضَه حمْرَةٌ.
31	عَفْرَاء		عفر		صفة مشبهة			مؤنث		أَعْفَر	مفرد	عَفْرَاوَاتٌ			Dw					Rw							Non	. 1. : الأَرْض البَيْضَاء. 2. : اللَّيْلَة الثَّالِثَة عَشْرَةَ مِنَ الشَّهْرِ.
32	عُفْرٌ		عفر		صفة مشبهة			مذكر			جمع		أعْفَر						Tn									
33	عَفْرَاوَاتٌ		عفر		صفة مشبهة			مؤنث			جمع		عَفْرَاء						Tn									
34	أبْرَص		برص		صفة مشبهة			مذكر	بَرْصَاء		مفرد	برْصٌ			DnN												Non	"(صف). ""رَجلٌ أَبْرَص"" : مصَابٌ بِالبَرَصِ وَهوَ مَرَضٌ غَيْر معْدٍ يصِيب جِلْدَ الإنْسَانِ. ن. بَرَصٌ ."
35	بَرْصاء		برص		صفة مشبهة			مؤنث		أَبْرَص	مفرد	بَرْصَاوَاتٌ			Dw					Rw							Non	". 1.""حَيَّةٌ بَرْصاء"" : جِلْدها بِهِ لمَع بَياضٍ. 2.""أَرْضٌ بَرْصاء"" : لَمْ يَبْقَ بِها نَباتٌ وَلا زَرْعٌ."
36	بُرْصٌ		برص		صفة مشبهة			مذكر			جمع		أبْرَص						Tn									
37	بَرْصَاوَاتٌ		برص		صفة مشبهة			مؤنث			جمع		بَرْصاء						Tn									
38	بَرْصَى		برص		صفة مشبهة			مؤنث			مفرد	بَرْصَاوَاتٌ															Non	
39	أَبْكَم		بكم		صفة مشبهة			مذكر	بَكْمَاء		مفرد	بكْمٌ			DnN												Non	"(صف). ""وَلَدٌ أَبْكَم"" : أخْرَس، لاَ يَتَكَلَّم."
40	بَكْمَاءُ		بكم		صفة مشبهة			مؤنث			مفرد	بَكْمَاوَاتٌ			Dw					Rw							Non	
41	بُكْمٌ		بكم		صفة مشبهة			مذكر			جمع		أَبْكَم						Tn									
42	بَكْمَاوَاتٌ		بكم		صفة مشبهة			مؤنث			جمع		بَكْمَاءُ						Tn									
