#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنون النصب للجمع	شرح
2	خَالِعٌ		خلع		صفة			مذكر			مفرد	+ات;خَوَالِعُ		Ta	DnT	Pf			Tn									". ""اِمْرَأَةٌ خَالِعٌ"" : الْمَرْأَةُ الْمُطَلَّقَةُ مِنْ زَوْجِهَا بِمُقَابِلٍ مَالِيٍّ ."
3	خَوَالِعُ		خلع		صفة			مذكر			جمع		خَالِعٌ														Non	
4	خَالِفٌ		خلف		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"خَالِفٌ-خَالِفٌ [خ ل ف]. 1.""وَلَدٌ خَالِفٌ"" : أَحْمَقُ، ضَعِيفٌ. 2. ""نَبِيذٌ خَالِفٌ"" : فَاسِدٌ ."
5	خَمٌّ		خمم		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"خَمٌّ-خَمٌّ [خ م م]. ""لَحْمٌ خَمٌّ"" : مُنَتَّنٌ، فاسِدُ الرَّائِحَةِ. (خَمَّ) اللَّحْمُ -ُ خَمًّا، وخُمُومًا: أنتَنَ وهو شِوَاءٌ: أو طبيخ. و- تغيَّرت رائحتُه ولَمَّا يَفْسُدْ. فهو خامٌّ، وخَمٌّ. و- اللَّبَنُ: غيرهُ خُبْثُ رائحة الوَطْب وأفسَدَه. وفي المثل: "" هو السّمْنُ لايَخِمُّ "": يضرب للرجل إِذا ذُكر بخير وأُثْنِيَ عليه. و- فلانٌ: بكى بكاءً شُديدًا. و- البَيْتَ -ُ خَمّا: كَنسه. و- البِئْرَ: كَسَحَها ونَقَّاها. ويقال: خَمَّ قلبَه: نقَّاه من الغِلّ والحِقد والحسد."
6	رَجْرَاجٌ		رجرج		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"رَجْرَاجٌ-رَجْرَاجٌ، ةٌ [ر ج ر ج]. 1.""رِدْفٌ رَجْرَاجٌ"" : الْمُهْتَزُّ الْمُضْطَرِبُ عِنْدَ الْمَشْيِ. 2.""اِمْرَأةٌ رَجْرَاجَةٌ"" : السَّمِينَةُ مُرْتَجَّةُ الرِّدْفِ."
7	رَاخِمٌ		رخم		صفة			مذكر			مفرد								Tn									"رَاخِمٌ-رَاخِمٌ [ر خ م]. ""دَجَاجَةُ رَاخِمٌ"" : حَاضِنةٌ عَلَى بَيْضِهَا."
8	مُرْخِمٌ		رخم		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"مُرْخِمٌ-مُرْخِمٌ، ةٌ [ر خ م]. ""دَجَاجَةٌ مُرْخِمَةٌ"" : حَاضِنَةٌ، أَيِ الَّتِي تَحْضُنُ بَيْضَهَا."
9	مُخْمَلٌ		خمل		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"مُخْمَلٌ-مُخْمَلٌ [خ م ل]. ""نَسِيجٌ مُخْمَلٌ"" : نَسِيجٌ لَهُ خَمْلٌ، أي ما يُشْبِهُ الزّغَبَ."
10	مُذَكَّرٌ		ذكر		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"مُذَكَّرٌ-مُذَكَّرٌ [ذ ك ر]. ""اِسْمٌ مُذَكَّرٌ"" : اِسْمٌ لَهُ صِفَاتُ الذَّكَرِ، خِلاَف الْمُؤَنَّثِ."
11	حَسَنٌ		حسن		صفة			مذكر			مفرد	+ات;حِسَانٌ		Ta	DnT	Pf			Tn									". 1.""حَسَنُ الأَخْلاَقِ"" : جَمِيلُهَا. ""حَسَنُ الوَجْهِ"" 2.""حَسَناً فَعَلْتَ"" : جَيِّداً ... 3.""يَتَقَدَّمُ مِنْ حَسَنٍ إلَى أَحْسَن"" : يَسِيرُ سَيْراً فِيهِ تَقَدُّمٌ مُتَوَاصِلٌ. 4. ""حَسَنٌ جِدّاً"" : جَيِّدٌ، مُمْتَازٌ، مِن عَلاَمَاتِ التَّنْقِيطِ الْمَدْرَسِيِّ. 5. ""حَدِيثٌ حَسَنٌ"" : فِي مُصْطَلَحِ الحَدِيثِ مَا كَانَ حَوْلَهُ اتِّفَاقٌ وَعُرِفَ رُواتُهُ."
