#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	 تنوين النصب للجمع 	شرح	
2	أَعْسَرُ		عسر		اسم تفضيل			مذكر	عُسْرَى		مفرد	+ون			DnN		Pm										Non		
3	أَعَاسِرُ		عسر		اسم تفضيل			مذكر			جمع																Non		
4	عُسْرَى		عسر		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		". 1.""يَكْتُبُ بِاليَدِ العُسْرَى"" : بِاليَدِ اليُسْرَى. 2.""هُوَ فِي عُسْرَى"" : فِي أَمْرٍ صَعْبٍ شَدِيدِ الوَطْأَةِ.الليل آية 8 ، 9 ، 10 وَأَمَّا مَنْ بَخِلَ وَاسْتَغْنَى وَكَذَّبَ بِالْحُسْنَى فَسَنُيَسِّرُهُ لِلْعُسْرَى (قرآن)."
5	أقْصَى		قصو		اسم تفضيل			مذكر	قُصْوى		مفرد	أَقاصٍ;الأقَاصِي;مؤ:;قُصْوَى			Dy												Non	". 1.""تَدَهْوَرَتِ الأمُورُ إلَى أقْصَى حَدٍّ"" : إلَى أبْعَدِ حَدٍّ. 2.""إنَّ الغَايَةَ القُصْوَى مِنَ الْمَشْرُوعِ هِيَ ..."" : الهَدَفُ الأخيرُ. 3.""لاَ يَتَّصِلُ بِالطَّبِيبِ إِلاَّ عِنْدَ الضَّرُورَةِ القُصْوَى"" : فِي حَالَة"	
6	أقَاصِي		قصو		اسم تفضيل			مذكر			جمع							Tk									Non		
7	قُصْوى		قصو		اسم تفضيل			مؤنث			مفرد	+ات;مُؤَنَّثُ;أَقْصَى			Dy	Pf											Non	"مُؤَنَّثُ أَقْصَى. 1.""بَلَغَ الْغَايَةَ الْقُصْوَى"" : الْغَايَةَ الْبَعِيدَةَ. 2.""عِنْدَ الضَّرُورَةِ الْقُصْوَى"" : فِي مُنْتَهَى الضَّرُورَةِ."	
8	أَزْيَدُ		زيد		اسم تفضيل			مذكر			مفرد				DnN												Non	"أَزْيَدُ-أَزْيَدُ [ز ي د]. ""مُنْذُ أَزْيَدَ مِنْ شَهْرٍ وَأَنَا أَنْتَظِرُ رِسَالَةً"": أَكْثَرَ. ""لا تَنْتَظِرْ أَزْيَدَ مِنَ اللاَّزِمِ""."	
9	أَشْرَفُ		شرف		اسم تفضيل			مذكر	شُرْفَى		مفرد	+ون			DnN		Pm										Non		
10	أَشَارِفُ		شرف		اسم تفضيل			مذكر			جمع																Non		
11	شُرْفَى		شرف		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
12	أَظْرَفُ		ظرف		اسم تفضيل			مذكر	ظُرْفَى		مفرد	+ون			DnN		Pm										Non		
13	أظَارِفُ		ظرف		اسم تفضيل			مذكر			جمع																Non		
14	ظُرْفَى		ظرف		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
15	أَذَكَّى		ذكي		اسم تفضيل			مذكر	ذُكْيَا		مفرد	+ون			Dy		Pm										Non		
16	أذَاكي		ذكي		اسم تفضيل			مذكر			جمع							Tk									Non		
17	ذُكْيَا		ذكي		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
18	أَجْمَلُ		جمل		اسم تفضيل			مذكر	جُمْلَى		مفرد	+ون			DnN		Pm										Non		
19	أَجَامِلُ		جمل		اسم تفضيل			مذكر			جمع																Non		
20	جُمْلَى		جمل		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
21	أوْهَى		وهي		اسم تفضيل			مذكر	وُهْيَا		مفرد	+ون			Dy		Pm										Non	"أوْهَى-أوْهَى [أ هـ ي]. ""أوْهَى مِنْ بَيْتِ العَنْكَبُوتِ"" : أضْعَفُ."	
22	أوَاهِي		وهي		اسم تفضيل			مذكر			جمع							Tk									Non		
23	وُهْيَا		وهي		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
24	أَبْطَأُ		بطء		اسم تفضيل			مذكر	بُطْأَى		مفرد	+ون			DnN		Pm										Non		
25	أُبَاطِئُ		بطء		اسم تفضيل			مذكر			جمع																Non		
26	بُطْأَى		بطء		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
27	أَيْمَنُ		يمن		اسم تفضيل			مذكر	يُمْنى		مفرد	+ون;أَيامِنُ;مؤ:;يُمْنى;يُمْنَياتٌ;			DnN		Pm										Non	". 1.""اِتَّجَهَ جَانِبَهُ الأَيْمَنَ"" : جَانِبَ اليَمِينِ. ""الشَّارِعُ الأَيْمَنُ"" ""الجِهَةُ اليُمْنَى"". 2.""هُوَ أيْمَنُ وَأخُوهُ أيْسَرُ"" : أيْ مَن يَعْمَلُ وَيكْتُبُ بِيَدِهِ اليُمْنَى. 3.""نَظَرَ أَيْمَنَ"" : عَنْ يَمينِهِ."	
28	أَيامِنُ		يمن		اسم تفضيل			مذكر			جمع																Non		
29	يُمْنى		يمن		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
30	أَخْسَرُ		خسر		اسم تفضيل			مذكر	خُسْرَى		مفرد	+ون			DnN		Pm										Non		
31	أَخَاسِرُ		خسر		اسم تفضيل			مذكر			جمع																Non		
32	خُسْرَى		خسر		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
33	أَقَلُّ		قلل		اسم تفضيل			مذكر	قُلَّى		مفرد	+ون			DnN		Pm										Non		
34	أقَالِلُ		قلل		اسم تفضيل			مذكر			جمع																Non		
35	قُلَّى		قلل		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
36	أَحْرِصُ		حرص		اسم تفضيل			مذكر	حُرْصَى		مفرد	+ون			DnN		Pm										Non		
37	أحَارِصُ		حرص		اسم تفضيل			مذكر			جمع																Non		
38	حُرْصَى		حرص		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
39	أَبْعَدُ		بعد		اسم تفضيل			مذكر	بُعْدَى		مفرد	+ون;أبَاعِدُ;			DnN		Pm										Non	". 1.""المسَافَةُ أبْعَدُ مِما يُتَصَوَّرُ"" : بَعِيدَةٌ جِدّاً. 2.""هُوَ لاَ يَرَى أبْعَدَ مِنْ أنْفِهِ"" : أَيْ قَصِيرُ النَّظَرِ وَالتَّفْكِيرِ."	
40	أبَاعِدُ		بعد		اسم تفضيل			مذكر			جمع																Non		
41	بُعْدَى		بعد		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
42	أَدْنَى		دنو		اسم تفضيل			مذكر	دُنْيَا		مفرد	+ون;مؤ:;دُنْيَا;دُنىً;			Dy		Pm										Non	". 1.""خُذْ مِنْهُ أَدْنَى قَدْرٍ مِنَ الْمَالِ"" : أَقَلَّ، أَبْسَطَ شَيْءٍ. 2.""طَافَ ابْنُ بَطُّوطَةَ العَالَمَ مِنْ أَدْنَاهُ إلى أَقْصَاهُ"" : مِنْ أَقْرَبِ مَكَانٍ إلى مَا هُوَ أَبْعَدُ. 3. ""أَنَا الْمُوَقِّعُ أَدْنَاهُ"" : أَسْفَلَهُ. 4.""أَدْنَى مِنْ حَبْلِ الوَرِيدِ"". (مثل) : قَرِيبٌ جِدّاً، وَشِيكٌ. 5. ""الحَدُّ الأَدْنَى"" : أَصْغَرُ كَمِّيَّةٍ. 6. ""بُلْدَانُ الشَّرْقِ الأدْنَى"" (جغ) : مِنْطَقَةٌ تَضُمُّ البُلْدَانَ الْمُطِلَّةَ عَلَى الحَوْضِ الشَّرْقِيِّ مِنَ البَحْرِ الْمُتَوَسِّطِ."	
43	أَدَانِي		دنو		اسم تفضيل			مذكر			جمع							Tk									Non		
44	دُنْيَا		دنو		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
45	أَحْكَمُ		حكم		اسم تفضيل			مذكر	حُكْمَى		مفرد	+ون			DnN		Pm										Non		
46	أَحَاكِمُ		حكم		اسم تفضيل			مذكر			جمع																Non		
47	حُكْمَى		حكم		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
48	أوْسَطُ		وسط		اسم تفضيل			مذكر	وُسْطَى		مفرد	+ون;أوَاسِطُ;مؤ:;وُسْطَى;			DnN		Pm										Non	". 1. خَيْرُ الأمُورِ أوْسَطُهَا (حديث): اِعْتِدَالُهَا، وَسَطُهَا، أيْ مَا هُوَ وَاقِعٌ فِي الْمُنْتَصَفِ. 2.""أوْسَطُ العَصَا"" : مَا بَيْنَ طَرَفَيْهَا. 3.""هُوَ الأوْسَطُ فِي مَوْقِفِهِ"" : الْمُعْتَدِلُ."	
49	أوَاسِطُ		وسط		اسم تفضيل			مذكر			جمع																Non		
50	وُسْطَى		وسط		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
51	أسْمَى		سمو		اسم تفضيل			مذكر	سُمْيَا		مفرد	+ون			Dy		Pm										Non		
52	أَسَامِي		سمو		اسم تفضيل			مذكر			جمع							Tk									Non		
53	سُمْيَا		سمو		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
54	أَبْسَطُ		بسط		اسم تفضيل			مذكر	بُسْطَى		مفرد	+ون			DnN		Pm										Non		
55	أَبَاسِطُ		بسط		اسم تفضيل			مذكر			جمع																Non		
56	بُسْطَى		بسط		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
57	أَرَقُّ		رقق		اسم تفضيل			مذكر	رِقََّى		مفرد	+ون			DnN		Pm										Non		
58	أرَاقِقُ		رقق		اسم تفضيل			مذكر			جمع																Non		
59	رِقََّى		رقق		اسم تفضيل			مؤنث			جمع				Dy	Pf											Non		
60	أَثْقَلُ		ثقل		اسم تفضيل			مذكر	ثُقْلَى		مفرد	+ون			DnN		Pm										Non		
61	أَثَاقِلُ		ثقل		اسم تفضيل			مذكر			جمع																Non		
62	ثُقْلَى		ثقل		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
63	أَظْهَرُ		ظهر		اسم تفضيل			مذكر	ظُهْرَى		مفرد	+ون			DnN		Pm										Non		
64	أَظَاهِرُ		ظهر		اسم تفضيل			مذكر			جمع																Non		
65	ظُهْرَى		ظهر		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
66	أَخْفَى		خفي		اسم تفضيل			مذكر	خُفْيَا		مفرد	+ون			Dy		Pm										Non		
67	أَخَافِي		خفي		اسم تفضيل			مذكر			جمع							Tk									Non		
68	خُفْيَا		خفي		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
69	أَبْرَزُ		برز		اسم تفضيل			مذكر	بُرْزَى		مفرد	+ون			DnN		Pm										Non		
70	أَبَارِِزُ		برز		اسم تفضيل			مذكر			جمع																Non		
71	بُرْزَى		برز		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
