n°	unvoc	vocal	cat	freq	haraka
32	عَرَبِيّ	عربي	adj	2630889	َ
34	فِلَسْطِينِيّ	فلسطيني	adj	2420737	َ
43	مُتَّحِد	متحد	adj	1773235	َ
47	جَدِيد	جديد	adj	1637902	َ
50	دُوَلِيّ	دولي	adj	1604368	َ
51	سِياسِيّ	سياسي	adj	1603615	َ
56	عامّ	عام	adj	1530150	َ
58	لُبْنانِيّ	لبناني	adj	1493922	َ
66	عِراقِيّ	عراقي	adj	1265307	َ
67	كَبِير	كبير	adj	1252503	َ
70	أَمْرِيكِيّ	أمريكي	adj	1221303	َ
71	ماضِي	ماضي	adj	1185219	َ
78	خارِجِيّ	خارجي	adj	1099444	َ
85	وَطَنِيّ	وطني	adj	1036852	َ
86	سابِق	سابق	adj	1023571	َ
89	عَسْكَرِيّ	عسكري	adj	1010827	َ
109	آخَر	آخر	adj	924007	َ
115	خاصّ	خاص	adj	892143	َ
131	فَرَنْسِيّ	فرنسي	adj	790342	َ
138	اِقْتِصادِيّ	اقتصادي	adj	771238	َ
142	كَثِير	كثير	adj	762415	َ
143	مِصْرِيّ	مصري	adj	760759	َ
157	مُقْبِل	مقبل	adj	723456	َ
158	حالِيّ	حالي	adj	707034	َ
177	سُورِيّ	سوري	adj	653690	َ
185	عالَمِيّ	عالمي	adj	623017	َ
188	دِيمُقراطِيّ	ديمقراطي	adj	621648	َ
194	رَسْمِيّ	رسمي	adj	606090	َ
197	إِسْرائِيلِيّ	إسرائيلي	adj	597636	َ
200	سَعُودِيّ	سعودي	adj	595010	َ
216	غَرْبِيّ	غربي	adj	552938	َ
250	أُخْرَى	أخرى	adj	489527	َ
253	برِيطانِيّ	بريطاني	adj	481403	َ
258	مالِيّ	مالي	adj	476490	َ
282	رُوسِيّ	روسي	adj	449148	َ
292	خارِج	خارج	adj	433781	َ
298	اِجْتِماعِيّ	اجتماعي	adj	424361	َ
299	مُخْتَلِف	مختلف	adj	423865	َ
308	مَحَلِّيّ	محلي	adj	415808	َ
310	مَدَنِيّ	مدني	adj	413544	َ
324	مُسْلِم	مسلم	adj	406603	َ
345	مُشْتَرَك	مشترك	adj	394582	َ
346	إِسْلامِيّ	إسلامي	adj	393241	َ
347	نَوَوِيّ	نووي	adj	392372	َ
363	أَخِير	أخير	adj	378904	َ
365	داخِلِيّ	داخلي	adj	378087	َ
377	كامِل	كامل	adj	368117	َ
387	نِهائِيّ	نهائي	adj	355630	َ
436	دائِم	دائم	adj	321142	َ
441	صِينِيّ	صيني	adj	318231	َ
448	شَعْبِيّ	شعبي	adj	311637	َ
451	جَنُوبِيّ	جنوبي	adj	309906	َ
452	رَئِيسِيّ	رئيسي	adj	309432	َ
457	عِدَّة	عدة	adj	306647	َ
462	أُورُبِّيّ	أوربي	adj	304890	َ
466	تُرْكِيّ	تركي	adj	303700	َ
475	مُشِير	مشير	adj	299590	َ
478	تابِع	تابع	adj	298388	َ
479	أَمْنِيّ	أمني	adj	298069	َ
489	مُهِمّ	مهم	adj	291481	َ
493	طَوِيل	طويل	adj	289525	َ
502	صادِر	صادر	adj	285091	َ
504	واضِح	واضح	adj	284742	َ
506	حُكُومِيّ	حكومي	adj	282980	َ
517	قَرِيب	قريب	adj	277987	َ
524	جارِي	جاري	adj	274822	َ
533	تِجارِيّ	تجاري	adj	270672	َ
562	مُقَرَّر	مقرر	adj	259573	َ
565	عَدِيد	عديد	adj	258387	َ
566	مَسِيحِيّ	مسيحي	adj	258098	َ
567	مُسَلَّح	مسلح	adj	257454	َ
578	أَعْلَى	أعلى	adj	255170	َ
584	ثَقافِيّ	ثقافي	adj	251664	َ
596	مَوْجُود	موجود	adj	247989	َ
597	مُباشِر	مباشر	adj	247866	َ
600	قَوْمِيّ	قومي	adj	246895	َ
602	شامِل	شامل	adj	245778	َ
604	حَقِيقِيّ	حقيقي	adj	245275	َ
621	شَمالِيّ	شمالي	adj	240854	َ
634	قادِم	قادم	adj	234121	َ
636	صَغِير	صغير	adj	234026	َ
637	دِينِيّ	ديني	adj	233735	َ
641	جَيِّد	جيد	adj	231638	َ
645	فَنِّيّ	فني	adj	230600	َ
647	مَرْكَزِيّ	مركزي	adj	228379	َ
667	دِبلُوماسِيّ	دبلوماسي	adj	219544	َ
680	وَحِيد	وحيد	adj	215910	َ
694	حُرّ	حر	adj	212413	َ
695	جَوِّيّ	جوي	adj	212312	َ
696	شَرْقِيّ	شرقي	adj	212192	َ
707	قائِم	قائم	adj	209934	َ
708	يَوْمِيّ	يومي	adj	209929	َ
709	قانُونِيّ	قانوني	adj	209686	َ
713	صَحافِيّ	صحافي	adj	208295	َ
714	اِنْتِخابِيّ	انتخابي	adj	208253	َ
718	ناطِق	ناطق	adj	207289	َ
723	شَخْصِيّ	شخصي	adj	206197	َ
726	قَدِيم	قديم	adj	205276	َ
733	تارِيخِيّ	تاريخي	adj	204385	َ
736	طَبِيعِيّ	طبيعي	adj	203107	َ
744	سُودانِيّ	سوداني	adj	198325	َ
750	صَعْب	صعب	adj	197103	َ
763	مُؤَكِّد	مؤكد	adj	194556	َ
764	مُمْكِن	ممكن	adj	194517	َ
775	رِئاسِيّ	رئاسي	adj	193255	َ
776	واسِع	واسع	adj	193156	َ
782	مَطْلُوب	مطلوب	adj	190587	َ
784	مُتَّهَم	متهم	adj	190184	َ
795	سَنَوِيّ	سنوي	adj	187367	َ
798	مَعْرُوف	معروف	adj	186697	َ
804	صَحِيح	صحيح	adj	185314	َ
806	شَهِيد	شهيد	adj	184834	َ
816	حَدِيث	حديث	adj	183625	َ
839	مُتَوَقَّع	متوقع	adj	178040	َ
842	قَوِيّ	قوي	adj	177733	َ
847	مُسْتَقِلّ	مستقل	adj	176150	َ
854	جَزائِرِيّ	جزائري	adj	174795	َ
861	عالِي	عالي	adj	173292	َ
867	مُدَرِّب	مدرب	adj	171903	َ
