verb	unvocalized	freq
كان	كان	7553046
قال	قال	4349099
تَمّ	تم	1240818
لَيْس	ليس	976757
قام	قام	953948
ذَكَر	ذكر	947361
أَمْكَن	أمكن	935577
اِعْتَبَر	اعتبر	865795
أَكَّد	أكد	785558
عَنَى	عنى	743394
بَدَأ	بدأ	735968
دَعا	دعا	702354
عاد	عاد	701159
رَأَى	رأى	677034
وَصَل	وصل	661940
أَراد	أراد	627723
قَدَّم	قدم	611178
زال	زال	585109
بَلَغ	بلغ	558791
جاء	جاء	558258
أَعْلَن	أعلن	541607
أَشار	أشار	530831
حَصَل	حصل	508911
وَجَب	وجب	506953
أَضاف	أضاف	498600
وَجَد	وجد	493567
عَرَف	عرف	475755
قَتَل	قتل	455676
عَمِل	عمل	453112
نَقَل	نقل	431692
شَكَّل	شكل	429250
تَحَدَّث	تحدث	419494
عَقَد	عقد	418642
شَهِد	شهد	414889
وَقَع	وقع	413181
بَدا	بدا	412285
بَقِي	بقي	411761
شارَك	شارك	411526
طَلَب	طلب	405108
طالَب	طالب	402138
سَجَّل	سجل	401849
رَفَض	رفض	401364
اِعْتَقَد	اعتقد	396265
أَدَّى	أدى	379417
أَصْبَح	أصبح	379364
جَرَى	جرى	378476
اِسْتَطاع	استطاع	369052
اِسْتَمَرّ	استمر	354831
حاوَل	حاول	349515
وَضَع	وضع	348086
ضَمّ	ضم	348059
أَتَى	أتى	347771
حَمَل	حمل	338765
حَقَّق	حقق	328315
اِلْتَقَى	التقى	318849
فاز	فاز	310593
مَثَّل	مثل	309008
جَعَل	جعل	304036
قَرَّر	قرر	302467
تَعَرَّض	تعرض	297659
تَعَلَّق	تعلق	296498
دَخَل	دخل	286457
أَقام	أقام	283087
عاش	عاش	278697
اِتَّخَذ	اتخذ	276862
زاد	زاد	274095
واجَه	واجه	272486
أَوْضَح	أوضح	272438
تَوَقَّع	توقع	272341
سَمَح	سمح	269397
وَصَف	وصف	258582
سَعَى	سعى	256526
اِنْتَهَى	انتهى	256313
حَدَث	حدث	254738
اِتَّهَم	اتهم	252347
بَحَث	بحث	251140
دَفَع	دفع	248522
تَمَكَّن	تمكن	248434
نَشَر	نشر	246224
زار	زار	241785
شَمِل	شمل	241541
تابَع	تابع	240888
صَرَّح	صرح	235427
صَدَر	صدر	232647
كَتَب	كتب	227498
لَعِب	لعب	224001
كَشَف	كشف	220789
عَرَض	عرض	219272
قاد	قاد	219108
حَدَّد	حدد	215893
أَجْرَى	أجرى	214173
وَجَّه	وجه	212134
رَفَع	رفع	210184
تَقَدَّم	تقدم	209355
اِرْتَفَع	ارتفع	208407
اِحْتاج	احتاج	207567
حَضَر	حضر	206832
تَضَمَّن	تضمن	204632
اِسْتَخْدَم	استخدم	204599
أَخَذ	أخذ	204553
مَلَك	ملك	199606
اِسْتَهْدَف	استهدف	198175
شَدَّد	شدد	197615
سَبَقِ	سبق	197117
خَرَج	خرج	194497
أَطْلَق	أطلق	193846
أَعْطَى	أعطى	193290
فَعَل	فعل	193259
بات	بات	192980
سَأَل	سأل	190589
تَلَقَّى	تلقى	190372
فَرَض	فرض	189090
عَلِم	علم	189078
نَفَّذ	نفذ	183994
طَرَح	طرح	183750
وافَق	وافق	183214
أَفاد	أفاد	182499
تَجاوَز	تجاوز	180639
اِنْتَظَر	انتظر	178747
واصَل	واصل	177965
عانَى	عانى	176623
نَجَح	نجح	175849
تَحَوَّل	تحول	171631
تَوَلَّى	تولى	170668
حَذَّر	حذر	169884
تَناوَل	تناول	166814
اِسْتَقْبَل	استقبل	166791
رَدّ	رد	163348
اِعْتَمَد	اعتمد	162354
ظَلّ	ظل	161932
نَظَّم	نظم	161832
تَوَقَّف	توقف	160427
تَرَك	ترك	159005
ساعَد	ساعد	158903
أَعاد	أعاد	158084
نَفَى	نفى	156997
هَدَّد	هدد	156756
أَصاب	أصاب	156643
هَدَف	هدف	156513
اِتَّفَق	اتفق	155875
ظَهَر	ظهر	155718
ذَهَب	ذهب	155538
أَصْدَر	أصدر	155265
اِعْتَقَل	اعتقل	154274
أَثار	أثار	152346
عَبَّر	عبر	151831
شَعَر	شعر	151747
وَقَف	وقف	150347
تَوَجَّه	توجه	150278
مَنَع	منع	149272
سَمَّى	سمى	148519
مَرّ	مر	148433
اِحْتَلّ	احتل	146220
فَتَح	فتح	145447
قَدَّر	قدر	144855
اِخْتار	اختار	144023
اِعْتَرَف	اعترف	143872
خَسِر	خسر	143694
صار	صار	143522
قَضَى	قضى	143238
قَبِل	قبل	142932
سَمِع	سمع	141125
سَقَط	سقط	140676
أَمَل	أمل	138333
وَقَّع	وقع	138107
ساهَم	ساهم	136604
شَنّ	شن	134295
نَظَر	نظر	134281
نَصّ	نص	133602
اِجْتَمَع	اجتمع	132203
غادَر	غادر	130475
سَلَّم	سلم	129803
اِنْطَلَق	انطلق	128849
أَظْهَر	أظهر	126937
جَمَع	جمع	124811
مارَس	مارس	124572
اِنْتَقَل	انتقل	122931
خاض	خاض	118677
مَنَح	منح	118607
تَمَتَّع	تمتع	117322
تَراجَع	تراجع	116999
أَعَدّ	أعد	115385
أَلْقَى	ألقى	115133
اِقْتَرَح	اقترح	113698
اِنْتَقَد	انتقد	113597
حَلّ	حل	113545
ناقَش	ناقش	111567
رَكَّز	ركز	109886
اِنْبَغَى	انبغى	108851
سَيْطَر	سيطر	108842
لاحَظ	لاحظ	108306
لَفَت	لفت	107807
تَبِع	تبع	106569
تَسَبَّب	تسبب	104879
أَعْرَب	أعرب	104790
تَحَقَّق	تحقق	104165
أَيَّد	أيد	101444
أَدْرَك	أدرك	101159
رافَق	رافق	100647
تَطَلَّب	تطلب	98869
عَزَّز	عزز	97776
اِرْتَكَب	ارتكب	97611
وَلِي	ولي	97492
رَغِب	رغب	96489
بَذَل	بذل	96384
اِفْتَرَض	افترض	95770
سار	سار	95388
خَضَع	خضع	95145
اِخْتَلَف	اختلف	93878
قَرَأ	قرأ	93146
رَحَّب	رحب	91794
وَعَد	وعد	91464
دار	دار	91187
دَرَس	درس	91118
أَثَّر	أثر	90926
وَفَّر	وفر	90827
أَتاح	أتاح	89855
أَقَرّ	أقر	89615
عَكَس	عكس	89539
اِفْتَتَح	افتتح	89413
اِزْداد	ازداد	88280
تَعَهَّد	تعهد	88220
تَمَنَّى	تمنى	87771
اِضْطَرّ	اضطر	86880
كَفَى	كفى	86848
اِسْتَغْرَق	استغرق	86667
تَمَثَّل	تمثل	86652
وَلَد	ولد	85989
ضَرَب	ضرب	85760
عَلَّق	علق	85526
اِسْتَبْعَد	استبعد	85484
اِنْتَمَى	انتمى	85471
تَوَصَّل	توصل	85009
عارَض	عارض	84289
فَقَد	فقد	84280
رَبَطُ	ربط	84169
عَثَر	عثر	83597
كاد	كاد	83563
تَبَنَّى	تبنى	83358
أَسْفَر	أسفر	82819
دام	دام	82804
اِسْتَضاف	استضاف	82743
شاهَد	شاهد	82183
حَكَم	حكم	82022
وَرَد	ورد	81261
أَبْدَى	أبدى	81234
فَهِم	فهم	81021
تَبَيَّن	تبين	80729
مَضَى	مضى	80684
حَظِي	حظي	80684
تَحَمَّل	تحمل	80017
أَجاب	أجاب	79318
دَمَّر	دمر	79166
