#model	root	verb	class	bab	note	note1	note2	note3
0(bis)	مكن	أمْكَنَ	I		يُمْكِنُ			
0(bis)	حيل	اِسْتَحَالَ	I		اِسْتَحَالَ	مفتاح		
0(bis)	زهو	زَهَا	D		زُهِيَ	لازم مطلق	u	
0(bis)	بءس	بِئْسَ	M		بِئْسَ	لازم نسبي	v	
0(bis)	غمي	أَغْمَى	D		أُغْمِيَ	متعدي غ ع	x	
0(bis)	سقط	سَقَطَ	D		سُقِطَ	متعدي ع	y	
0(bis)	حبذ	حَبَّذَا	M		حَبَّذَا	متعدي لمفعولين	yz	y
0(bis)	نعم	نِعْمَ	M		نِعْمَ	متعدي ع قلبي	yw	w
0(bis)	وهب;هيب	وَهَبَ	M		هَبْ 	أمر فقط	A	
0(bis)	بغي	اِنْبَغَى	I		يَنْبَغِي	ماضي فقط	P	
1(bis)	برح	بَرِحَ	Sx		بَرِحَ	جامد	M	
10(bis)	فكك	اِنْفَكَّ	Sv		اِنْفَكَّ	فعل لاشخصي	I	
3(bis)	علو	تَعَالَى	A		تَعَالَى	ماضي + مضارع	S	
3(bis)	هلم	هَلُمَّ	A		هَلُمَّ	مبني للمجهول فقط	D	
38(bis)	فتء	فَتِئَ	Sv		فَتِئَ	مضارع + أمر	R	
46(bis)	ودع	وَدَعَ	Ry					
46(bis)	ودع	وَذَرَ	Ry					
5(bis)	وشك	أَوْشَكَ	Sv					
51(bis)	روم	رَامَ	Sx					
52(bis)	زيل	زَالَ	Sv					
52(bis)	كود	كَادَ	Su					
56(bis)	ليس	لَيْسَ	Pu					
59(bis)	عيي	عَيَّا	v					
59(bis)	زيي	زَيَّا	y					
59(bis)	حيي	حَيَّا	y					
6(bis)	حتم	تَحَتَّمَ	I					
60(bis)	عيي	عَايَا	y					
61(bis)	حيي	أَحْيَا	y					
61(bis)	عيي	أَعْيَا	y					
62(bis)	حيي	تَحَيَّا	v					
62(bis)	زيي	تَزَيَّا	v					
64(bis)	عيي	اِسْتَعْيَا	y					
64(bis)	حيي	اِسْتَحْيَا	y					
66(bis)	عسي	عَسَى	P					
76(bis)	حيي	حَيِيَ	v					
76(bis)	عيي	عَيِيَ	x					
86(bis)	ءوي	آوَى	y					
1	حلك	حَلَكَ	v					
1	بخر	بَخِرَ	v					
1	حبس	حَبَسَ	y					
1	تلد	تَلِدَ	v					
1	حصد	حَصِدَ	v					
1	خبر	خَبِرَ	x					
